adp_code,adp_name,financial_year,cidp_code,sector_name,programme_name,subprogramme_name,project_name,location_text,subcounty,ward,sublocation,village,activity_description,estimated_cost,funding_source,timeframe,performance_indicator,target,plan_status,implementing_agency,cross_cutting_issues,source_pdf_page,raw_text
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,Agriculture and Co-operative Development,Crops Development & Management,Agric ultura l farm inputs,Certifi ed Crop Seed-,County wide,,,,,Procurement & distrib ution of certifi ed seeds,120000000.0,,CG Q1& M Q2,No of certifie d seeds procured & distrib uted (Tons),267,Ongoing,DOAL FD,"Environm ental friendly, Nutrition sensitive ,target vulnerabl e groups",205,"Agric Certifi All Procur 120 CG Q1& No of 267 On DOAL Environm | ultura ed ement M M Q2 certifie going FD ental | l farm Crop & d seeds friendly, | inputs Seed- distrib procur Nutrition | ution ed & sensitive | of distrib ,target | certifi uted vulnerabl | ed (Tons) e groups | seeds"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,Agriculture and Co-operative Development,Crops Development & Management,,Pestic ides,County wide,,,,,Procurement & distrib ution pestci des,10000000.0,,CG Q2 & M 3,No of pestici de procured & distrib uted (bottle s),"10,0 00 s",Ongoing,DOAL FD,"Environm entally friendly, Gender sensitive( spraying), Food safety(SU Ps), PPEs",205,"Pestic All Procur 10M CG Q2 & No of 10,0 On DOAL Environm | ides ement M 3 pestici 00 s going FD entally | & de friendly, | distrib procur Gender | ution ed & sensitive( | pestci distrib spraying), | des uted Food | ons) | (bottle safety(SU | s) Ps), PPEs"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,Agriculture and Co-operative Development,Crops Development & Management,Post- harves t manag ement,Aflato xin testin g kit- Micro plate reader 96 ),Machak os/ Matung ulu/ Yatta,,,,,Procure Aflato xin testing kit-& equip,3200000.0,,CG Q2& M Q3,No of procured Aflato xin testing kit- & equipp ed,2,New,DoALF D,"Food Safety, Nutrition sensitive",206,"Post- Aflato Machak Procur 3,2M CG Q2& No of 2 New DoALF Food | harves xin os/ e M Q3 procur D Safety, | t testin Matung Aflato ed Nutrition | manag g kit- ulu/ xin Aflato sensitive | ement Micro Yatta testing xin | plate kit-& testing | reader equip kit- & | 96 ) equipp | ed"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,Agriculture and Co-operative Development,Crops Development & Management,Extens ion servic es,Agric ultural Exten sion Office rs,County wide,,,,,Recrui t extens ion techni cal staff,,,- Q1- Q4,No recruit ed &depl oyed extensi on Officer s,18,New appoint ments,CGM/P SB,Inclusivit y,206,Extens Agric All Recrui - - Q1- No 18 New CGM/P Inclusivit | ion ultural t Q4 recruit appoint SB y | servic Exten extens ed ments | es sion ion &depl | Office techni oyed | rs cal extensi | staff on | Officer | s
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Commercial, Tourism and Labour Affairs","Commercial, Tourism and Labour Affairs ADP Projects",Actin g Theat re,Constru ction an acting theatre and rehearsa l rooms,Mua/Mik of uyu,,,,,Desig n and construction of an acting and rehear sal rooms theate r,30000000.0,CGM,Q2,One fully equipped Acting,1,New,Depar tment of Cultur e and Touris m,Disabi lity friendl y,219,Actin Constru Mua/Mik Desig 30 CG Q2 One 1 New Depar Disabi | g ction of uyu n and M fully tment lity | Theat an constr equipped of friendl | re acting uction Acting Cultur y | theatre of an e and | and acting Touris | rehearsa and m | l rooms rehear | sal | rooms | theate | r
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Commercial, Tourism and Labour Affairs","Commercial, Tourism and Labour Affairs ADP Projects",Mach akos Artfes t 2024,Celebra ting Art,Mua/Mik uyu,,,,,Organ izing A film Festiv al,10000000.0,CGM,Q4,A successfu l event,1,New,Depar tment of Cultur e and Touris m,Disabi lity friendl y,219,Mach Celebra Mua/Mik Organ 10 CG Q4 A 1 New Depar Disabi | akos ting Art uyu izing M successfu tment lity | Artfes A film l event of friendl | t 2024 Festiv Cultur y | al e and | Touris | m
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Commercial, Tourism and Labour Affairs","Commercial, Tourism and Labour Affairs ADP Projects",Filmi ng Equip ment for the Creati ve Studi os,Purchas e of Filming equipm ent,Mua/Mik uyu,,,,,Purch ase of Filmin g equip ment,20000000.0,,Q2,Equipme nt purchase d,1,New,Depar tment of Cultur e and Touris m,Disabi lity friendl y,219,Filmi Purchas Mua/Mik Purch 20 Q2 Equipme 1 New Depar Disabi | ng e of uyu ase of nt tment lity | Equip Filming Filmin purchase of friendl | ment equipm g d Cultur y | for ent equip e and | the ment Touris | Creati m | ve | Studi | os
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Commercial, Tourism and Labour Affairs","Commercial, Tourism and Labour Affairs ADP Projects",Miss Touri sm Mach akos Count y,Miss Touris m Event,All Wards,,,,,Organ izing of the Beaut y Pagen t,10000000.0,CGM,Q3,Event organize d,1,Ongoing,Depar tment of Cultur e and Touris m,Disabi lity friendl y,219,Miss Miss All Organ 10 CG Q3 Event 1 Ongoi Depar Disabi | Touri Touris Wards izing M organize ng tment lity | sm m of the d of friendl | Mach Event Beaut Cultur y | akos y e and | Count Pagen Touris | y t m
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Commercial, Tourism and Labour Affairs","Commercial, Tourism and Labour Affairs ADP Projects",Mapp ing and virtuli zation of attrac tion sites and hotel,Mappin g Excerci se,All Wards,,,,,Condu ct a mappi ng exerci se and docu menta tion,5000000.0,CGM,"Q1, Q2",Mapping report,1,Ongoing,Depar tment of Cultur e and Touris m,Disabi lity friendl y,219,"Mapp Mappin All Condu 5 CG Q1, Mapping 1 Ongoi Depar Disabi | ing g Wards ct a M Q2 report ng tment lity | and Excerci mappi of friendl | virtuli se ng Cultur y | zation exerci e and | of se and Touris | attrac docu m | tion | ions | ) | sites menta | and tion | hotel"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Commercial, Tourism and Labour Affairs","Commercial, Tourism and Labour Affairs ADP Projects",Trade shows and exhibi tion,Organiz ing Local and Internat ional Exhibiti ons,"County level, National and Internati onal",,,,,Trade and exhibi tion shows organi zed,10000000.0,CGM and Nat ion al Age ncie s,Q2- Q4,Shows and Exhibitio ns organize d,4,Ongoing,Depar tment of Cultur e and Touris m,Natio nal Gover nment involv ed,220,"Trade Organiz County Trade 10 CG Q2- Shows 4 Ongoi Depar Natio | shows ing level, and M Q4 and ng tment nal | and Local National exhibi and Exhibitio of Gover | exhibi and and tion Nat ns Cultur nment | tion Internat Internati shows ion organize e and involv | ional onal organi al d Touris ed | Exhibiti zed Age m | ons ncie | s"
MACHAKOS-CADP-2025-2026,Machakos County Annual Development Plan 2025/2026,2025/2026,MACHAKOS-CIDP-2023-2027,"Commercial, Tourism and Labour Affairs","Commercial, Tourism and Labour Affairs ADP Projects",Establ ishme nt of touris m and hospit ality and insitut ion,Touris m and a Hospita lity instituti on,Central /Mjini,,,,,Construction of a Touris m and Hospit ality institu tion,45000000.0,CGM,Q2,One institutio n Construc ted,1,New,Depar tment of Cultur e and Touris m,Indust ry stakeh older consul ted,220,Establ Touris Central Constr 45 CG Q2 One 1 New Depar Indust | ishme m and /Mjini uction M institutio tment ry | nt of a Hospita of a n of stakeh | touris lity Touris Construc Cultur older | m and instituti m and ted e and consul | hospit on Hospit Touris ted | ality ality m | and institu | insitut tion | ion
